platformId,accountId,summonerName,summonerId,currentPlatformId,currentAccountId,matchHistoryUri,profileIcon,participantId,teamId,championId,spell1Id,spell2Id,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,creepsPerMinDeltas-0-10,creepsPerMinDeltas-10-20,xpPerMinDeltas-0-10,xpPerMinDeltas-10-20,goldPerMinDeltas-0-10,goldPerMinDeltas-10-20,csDiffPerMinDeltas-0-10,csDiffPerMinDeltas-10-20,xpDiffPerMinDeltas-0-10,xpDiffPerMinDeltas-10-20,damageTakenPerMinDeltas-0-10,damageTakenPerMinDeltas-10-20,damageTakenDiffPerMinDeltas-0-10,damageTakenDiffPerMinDeltas-10-20,role,lane,championName,championRole,gameId
NA1,T6UEWY0Ournr3d7ZadJNpAy26ebjIUUK6p86FPbyP_IET6E,GrayGame,jYIAt8K2HRVHR9HHnNjcBSIRad5xgUcZA8KR_bjfrpuNfvg,NA1,T6UEWY0Ournr3d7ZadJNpAy26ebjIUUK6p86FPbyP_IET6E,/v1/stats/player_history/NA1/235870780,3795,1,100,37,4,14,true,3098,3003,3117,3057,1026,3113,3364,3,5,17,3,1,1,523,0,0,0,0,0,16876,13781,2491,604,0,9626,6999,2023,604,4037,5,3854,2958,2958,36,10,7873,2049,5713,110,8185,7725,1,0,15,0,0,0,27,11,3,0,14,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8214,481,844,0,8226,250,993,0,8234,9445,0,0,8236,24,0,0,8304,9,0,0,8347,0,0,0,8200,8300,5008,5008,5002,false,false,false,false,false,true,0.2,1.3,254,428.4,235.60000000000002,462.90000000000003,0.7500000000000002,-0.2999999999999998,19.24999999999997,178.55,298.8,342.8,-74.34999999999997,-237.3,DUO_SUPPORT,BOTTOM,Sona,Support,3128683393
NA1,Dv4CdupKnnfde3HjJiWr5pUpgMVKgeSZjU5iYw2qHbquMrg,GrayPony,iYI9FSX-CyV5hzlvcpwl-CJPTpm4j8gCZoBmXrYvx1H48WI,NA1,Dv4CdupKnnfde3HjJiWr5pUpgMVKgeSZjU5iYw2qHbquMrg,/v1/stats/player_history/NA1/235496060,4088,2,100,58,12,4,true,1055,3071,3047,3156,1038,2055,3363,7,3,4,5,2,2,672,1,0,0,0,0,99200,4916,94283,0,0,11233,676,10556,0,5718,1,15508,9837,8534,7,14,19629,5183,13660,786,10410,9275,2,0,158,0,0,0,27,13,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,1124,691,433,9111,1344,220,0,9105,15,50,0,8299,526,0,0,8446,3119,0,0,8473,648,0,0,8000,8400,5008,5008,5002,false,false,false,false,false,true,7,7.8999999999999995,457,492.1,315.8,566.3,0.9000000000000004,3.0999999999999996,-3.999999999999943,97.20000000000002,662.1,868.7,180.99999999999997,56,SOLO,TOP,Renekton,Fighter,3128683393
NA1,Upkm9vcUgBkf_5vYPziCKZxavLlv1cp-NVZlruUYZO9yABQDnBCPhUoW,penq,bf5KmckB_pjDHicT7_ABMpxVgGgSnLc2wpqdhlsKQ-XFsAfB,NA1,Upkm9vcUgBkf_5vYPziCKZxavLlv1cp-NVZlruUYZO9yABQDnBCPhUoW,/v1/stats/player_history/NA1/2170889872305728,4244,4,100,22,7,4,true,1055,3508,3006,3078,1051,1042,3363,7,3,8,4,1,2,412,0,0,0,0,0,108700,2224,96208,10268,334,16445,1262,14936,246,1099,3,3358,7001,6006,11,38,8663,2304,6147,212,10157,9533,3,0,155,8,0,5,561,13,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1466,0,0,8226,250,172,0,8233,6,50,0,8236,14,0,0,8009,1792,102,0,9104,12,40,0,8200,8000,5005,5008,5001,false,false,false,false,false,true,7.7,7.4,360.7,565.2,365.4,543,0.7500000000000002,-0.2999999999999998,19.24999999999997,178.55,347.2,491.4,-74.34999999999997,-237.3,DUO_CARRY,BOTTOM,Ashe,Marksman,3128683393
NA1,TaHngu0GVUV0mJE2YO-KKzg7LCVLbKOabVZdqUXemAx6eTidfjcG8aJ-,merkdog,cD_NjTusDet6fwsEgz9yhzh7Hu4ARynCl4IBAbClVsMOgMJn,NA1,TaHngu0GVUV0mJE2YO-KKzg7LCVLbKOabVZdqUXemAx6eTidfjcG8aJ-,/v1/stats/player_history/NA1/2170909018746304,7,3,100,517,4,14,true,2033,2420,3152,3020,3285,1082,3364,6,1,5,6,2,1,180,1,0,0,0,0,82950,78196,3686,1066,0,17139,15420,651,1066,5341,1,8384,6708,6708,11,16,13953,4375,9299,278,8647,8250,1,1,109,8,4,0,332,13,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,612,177,625,9111,1040,220,0,9105,16,0,0,8014,376,0,0,8345,3,0,0,8352,307,1869,1016,8000,8300,5008,5008,5003,false,false,false,false,true,false,5.4,5.199999999999999,443,533.5999999999999,258.9,480,-1.1,0.3999999999999999,40.900000000000006,264.59999999999997,452.70000000000005,671.9000000000001,-231.69999999999996,-92.39999999999998,SOLO,MIDDLE,Sylas,Mage,3128683393
NA1,lHe0h-3jToQZWgRiIDTjAzL325_1vRJmb1esS8HBL91rO5E,AGS Spec for KO,ziZ0r7rAdgDrxWpMpk-sU_FSkw69syInRmBPoTIq26R-WbM,NA1,lHe0h-3jToQZWgRiIDTjAzL325_1vRJmb1esS8HBL91rO5E,/v1/stats/player_history/NA1/202655333,4025,6,200,254,4,11,false,1400,2031,3047,1028,1036,0,3340,3,5,1,2,1,1,484,0,0,0,0,0,50099,940,45892,3266,0,4495,278,3642,574,1955,1,9223,0,0,8,9,10940,2192,8523,225,5606,4625,0,0,14,56,48,4,108,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,241,0,0,8401,96,0,0,8473,391,0,0,8453,200,170,0,9111,35,80,0,9104,0,0,0,8400,8000,5005,5008,5002,false,false,false,false,false,false,0.7,0.7,301,186.9,301.7,192.3,0.6,-0.4,-76.69999999999999,-322.8,412.9,664.1,-226.5,-23.99999999999997,NONE,JUNGLE,Vi,Fighter,3128683393
NA1,307I_pVZT2hK5RpzCY-1w07zDsA7lcQ4VMV4h3jcD3lyynFohvZcbaad,Pooorooo,21mY4NDgixx2RBQ3h1eTyplXRo02_QJ1JA3GQVNChztyrSeS,NA1,307I_pVZT2hK5RpzCY-1w07zDsA7lcQ4VMV4h3jcD3lyynFohvZcbaad,/v1/stats/player_history/NA1/2191931037756320,4201,5,100,107,4,11,true,1041,3077,3111,3142,3134,1036,3364,6,0,3,6,1,1,0,0,0,0,0,0,120261,8431,104629,7200,0,7424,658,6350,416,9181,1,7353,15899,0,15,4,14536,2655,11630,250,9069,7550,0,0,20,104,46,27,171,13,3,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,2272,0,0,9111,269,180,0,9104,10,50,0,8014,209,0,0,8143,205,0,0,8105,13,4,0,8000,8100,5008,5008,5002,false,false,false,false,false,false,0.1,1.1,377.7,509.70000000000005,353.1,430.7,-0.6,0.4,76.69999999999999,322.8,639.4,688.1,226.5,23.99999999999997,NONE,JUNGLE,Rengar,Assassin,3128683393
NA1,5dcIWVTXmXIUg2PZmfwCOcbv7LNbKqCa35B0GqVa8ocW_4zsy7Y_LfoJ,Jinyu,uttQ6rMmG9q5J7RGfXbk6jEMXr19pmvMKALRo-8ZN7e6g3jd,NA1,5dcIWVTXmXIUg2PZmfwCOcbv7LNbKqCa35B0GqVa8ocW_4zsy7Y_LfoJ,/v1/stats/player_history/NA1/2073328517769728,4249,7,200,18,4,7,false,1055,3153,1038,3006,1037,2031,3363,6,6,2,3,1,2,293,0,0,0,0,0,68240,15546,45153,7540,0,8746,2510,6236,0,1813,3,5623,1194,1194,7,5,16152,5627,9944,579,8606,6925,0,0,119,0,0,0,31,10,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,540,332,207,9111,461,160,0,9104,14,40,0,8014,175,0,0,8304,9,0,0,8345,3,0,0,8000,8300,5005,5008,5002,false,false,false,false,false,false,4.6,7.199999999999999,277.4,393.9,291.1,398.7,-0.7500000000000002,0.2999999999999998,-19.24999999999997,-178.55,463.70000000000005,804.8,74.34999999999997,237.3,DUO_CARRY,BOTTOM,Tristana,Marksman,3128683393
NA1,yu6An_0PfsVJjp41YxrdMSVqjbe1XrHvDhbwqoxWoFUB3kk,Spartmoo,XGkwxg8VbOckBoLWkUWtBSZi0iJoQBxVXJc7sVYXv6qx7AY,NA1,yu6An_0PfsVJjp41YxrdMSVqjbe1XrHvDhbwqoxWoFUB3kk,/v1/stats/player_history/NA1/202648069,693,8,200,89,4,14,false,3105,3117,3097,3024,0,0,3364,0,4,5,0,0,0,492,0,0,0,0,0,16331,5877,5227,5226,0,3356,1822,1149,384,744,4,9460,324,324,36,21,10317,3868,6300,147,4591,4200,0,0,39,0,0,0,31,10,4,0,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,357,0,0,8463,209,0,0,8473,393,0,0,8451,113,0,0,8345,3,0,0,8347,0,0,0,8400,8300,5008,5008,5002,false,false,false,false,false,false,1.7999999999999998,2.1,298.8,242.6,194.89999999999998,181.7,-0.7500000000000002,0.2999999999999998,-19.24999999999997,-178.55,331,504,74.34999999999997,237.3,DUO_SUPPORT,BOTTOM,Leona,Tank,3128683393
NA1,xh4ZMAvpWyqFYOJU0bBLSdjzwXLtDtNQqZo4HtJTkXtsCq8,krqnicle,2tLGsglVic5A2X-q_AMdeoVhXm30RRbr2iJm1PY8O09pEAI,NA1,xh4ZMAvpWyqFYOJU0bBLSdjzwXLtDtNQqZo4HtJTkXtsCq8,/v1/stats/player_history/NA1/200373380,744,9,200,8,12,4,false,3152,2420,3108,1054,3020,0,3340,2,6,1,0,1,0,453,0,0,0,0,0,56152,49481,6670,0,0,7409,6774,635,0,7619,1,5876,2083,2083,10,3,16432,4574,11147,709,6044,5525,0,0,112,0,0,0,47,12,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,7,0,0,8275,5,0,0,8210,0,0,0,8236,24,0,0,8304,10,3,0,8347,0,0,0,8200,8300,5007,5002,5001,false,false,false,false,false,false,6.1,4.8,461,394.9,272.7,229.5,-0.9000000000000004,-3.0999999999999996,3.999999999999943,-97.20000000000002,481.1,812.7,-180.99999999999997,-56,SOLO,TOP,Vladimir,Mage,3128683393
NA1,EIu3fAfk-mEVUy2UXvnGKl76USd-BlL76CePYLFSd33lsQ,Best Ahri Mid,RfNcRmi_tAjl9dTty8JvxOaQJNcp94VWCrVOS4EPy5cTPOc,NA1,EIu3fAfk-mEVUy2UXvnGKl76USd-BlL76CePYLFSd33lsQ,/v1/stats/player_history/NA1/42139469,4072,10,200,84,4,14,false,1001,3146,0,0,1056,3123,3340,1,8,1,0,1,0,318,0,0,0,0,0,50851,33805,12167,4878,0,8590,4556,3356,678,2206,1,6632,0,0,9,3,16984,9195,7118,669,5838,5225,0,0,114,0,0,0,32,10,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8021,1011,0,0,9111,99,40,0,9103,0,0,0,8014,154,0,0,8139,634,0,0,8135,432,2,0,8000,8100,5008,5008,5003,true,false,false,false,false,false,6.5,4.8,402.1,269,269.70000000000005,228.4,1.1,-0.3999999999999999,-40.900000000000006,-264.59999999999997,684.4,764.3,231.69999999999996,92.39999999999998,SOLO,MIDDLE,Akali,Assassin,3128683393
